,Name,Branch,Town,City,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2
512,Priyadarshini Bhagwati  College of Engineering,Information Technology, Harpur Nagar, UmredRoad,JEE,21943.0,42.0,61939.0,8.0,17948.0,72.8887969,22098.0,68.130492
513,Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College ofEngineering,Civil Engineering, Sangamner,,JEE,22045.0,42.0,19379.0,45.0,53090.0,15.2992116,44172.0,37.2476388
514,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,22757.0,41.0,34745.0,30.0,49218.0,26.2649485,36639.0,48.8733653
515,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,22757.0,41.0,34745.0,30.0,49402.0,25.8496658,36639.0,48.8733653
516,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,22757.0,41.0,52379.0,16.0,49218.0,26.2649485,36639.0,48.8733653
517,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,22757.0,41.0,52379.0,16.0,49402.0,25.8496658,36639.0,48.8733653
518,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,29818.0,34.0,34745.0,30.0,49218.0,26.2649485,36639.0,48.8733653
519,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,29818.0,34.0,34745.0,30.0,49402.0,25.8496658,36639.0,48.8733653
520,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,29818.0,34.0,52379.0,16.0,49218.0,26.2649485,36639.0,48.8733653
521,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Mechanical Engineering,Vadgaon,Pune,JEE,29818.0,34.0,52379.0,16.0,49402.0,25.8496658,36639.0,48.8733653
522,Chhartrapati Shivaji Maharaj Institute of Technology,Computer Engineering, Shedung, Panvel,JEE,23016.0,41.0,29055.0,35.0,25049.0,63.9247764,45665.0,34.0443709
523,A. P. Shah Institute of Technology,Civil Engineering, Thane,,JEE,23028.0,41.0,45272.0,21.0,49363.0,25.9994074,48075.0,29.1226617
524,Haji Jamaluddin Thim Trust's Theem College of Engineering,Computer Engineering, At. VillegeBetegaon, Boisar,JEE,23056.0,41.0,25089.0,39.0,24550.0,64.908509,31479.0,56.1054739
525,Keystone School of Engineering,Computer Engineering, Pune,,JEE,23147.0,40.0,33576.0,30.0,23882.0,65.7479355,25396.0,63.8282598
526,Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering &Technology,Computer Engineering, Shahapur, Asangaon,JEE,23235.0,40.0,31339.0,33.0,41816.0,41.1445071,55863.0,0.9262022
527,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,23616.0,40.0,39498.0,25.0,54810.0,8.1375507,50123.0,24.1327066
